id,subject,subjectinfo_id,regulatory_focus,age,age_interval,gender,income,platform_preference,visit_frequency,visit_mean,app_expense,previous_experience,involvement,directlyPurchase,combine_choice,purchase,review,detail,review_num,detail_num,apporder,appname,combine,combine_num,combine_HighJ,combine_HighU,combine_LowJ,combine_LowU,prevenU,prevenJ,promoU,promoJ,Jshape,Ushape,numRating,totalrating,averagerating,clickorder,choiceset,perceived_rf,success_induced
1,1,1,1,25,21~25,1,2,1,3,1,3,5,1,0,2,0,1,1,2,1,1,3,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,33,4,drr,74,1,yes
2,1,1,1,25,21~25,1,2,1,3,1,3,5,1,0,2,1,1,0,2,0,2,4,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,2292,4.1,rrp,74,1,yes
4,1,1,1,25,21~25,1,2,1,3,1,3,5,1,0,2,0,0,0,0,0,4,1,LowU,3,0,0,0,1,1,0,0,0,0,1,0,26,3.1,,74,1,yes
3,1,1,1,25,21~25,1,2,1,3,1,3,5,1,0,2,0,0,1,0,1,3,2,HighU,4,0,1,0,0,1,0,0,0,0,1,1,1385,3.4,d,74,1,yes
8,2,2,1,32,31~35,0,3,0,4,1,5,5,1,0,1,1,0,1,0,1,4,2,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,47,4.4,dp,110,1,yes
6,2,2,1,32,31~35,0,3,0,4,1,5,5,1,0,1,0,0,0,0,0,2,3,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4685,4.2,,110,1,yes
5,2,2,1,32,31~35,0,3,0,4,1,5,5,1,0,1,0,0,0,0,0,1,1,LowU,3,0,0,0,1,1,0,0,0,0,1,0,35,3.4,,110,1,yes
7,2,2,1,32,31~35,0,3,0,4,1,5,5,1,0,1,0,0,0,0,0,3,4,HighU,4,0,1,0,0,1,0,0,0,0,1,1,2665,3.3,,110,1,yes
12,3,3,0,31,31~35,0,1,0,3,1,3,6,1,0,1,1,0,0,0,0,4,4,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,44,4.2,p,43,0,yes
10,3,3,0,31,31~35,0,1,0,3,1,3,6,1,0,1,0,1,0,1,0,2,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,1823,4.2,r,43,0,yes
11,3,3,0,31,31~35,0,1,0,3,1,3,6,1,0,1,0,0,0,0,0,3,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,40,3.5,,43,0,yes
9,3,3,0,31,31~35,0,1,0,3,1,3,6,1,0,1,0,0,1,0,1,1,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2367,3.3,d,43,0,yes
15,4,4,0,29,26~30,0,3,1,2,0,4,5,0,0,2,0,0,0,0,0,3,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,33,4,,133,0,yes
16,4,4,0,29,26~30,0,3,1,2,0,4,5,0,0,2,1,1,0,1,0,4,4,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,2485,4.1,rp,133,0,yes
13,4,4,0,29,26~30,0,3,1,2,0,4,5,0,0,2,0,0,1,0,1,1,2,LowU,3,0,0,0,1,0,0,1,0,0,1,0,43,3.3,d,133,0,yes
14,4,4,0,29,26~30,0,3,1,2,0,4,5,0,0,2,0,0,0,0,0,2,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2995,3.4,,133,0,yes
17,5,5,0,33,31~35,0,6,0,3,1,2,6,1,0,2,0,0,0,0,0,1,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,33,4,,99,0,yes
20,5,5,0,33,31~35,0,6,0,3,1,2,6,1,0,2,1,1,1,1,1,4,2,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,4435,4.3,drp,99,0,yes
19,5,5,0,33,31~35,0,6,0,3,1,2,6,1,0,2,0,0,0,0,0,3,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,42,3.2,,99,0,yes
18,5,5,0,33,31~35,0,6,0,3,1,2,6,1,0,2,0,1,0,1,0,2,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,4001,3.4,r,99,0,yes
24,6,6,1,22,21~25,1,1,0,4,1,1,7,1,1,2,0,0,0,0,0,4,3,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,37,4.2,,8,1,yes
21,6,6,1,22,21~25,1,1,0,4,1,1,7,1,1,2,1,0,0,0,0,1,1,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,3971,4.2,p,8,1,yes
23,6,6,1,22,21~25,1,1,0,4,1,1,7,1,1,2,0,0,0,0,0,3,4,LowU,3,0,0,0,1,1,0,0,0,0,1,0,32,3.3,,8,1,yes
22,6,6,1,22,21~25,1,1,0,4,1,1,7,1,1,2,0,0,0,0,0,2,2,HighU,4,0,1,0,0,1,0,0,0,0,1,1,2728,3.6,,8,1,yes
26,7,7,0,34,31~35,0,7,1,3,1,4,5,1,0,4,0,1,1,2,1,2,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,39,4.1,drr,27,0,yes
25,7,7,0,34,31~35,0,7,1,3,1,4,5,1,0,4,0,1,1,1,1,1,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,4192,4.3,dr,27,0,yes
27,7,7,0,34,31~35,0,7,1,3,1,4,5,1,0,4,0,1,1,1,2,3,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,45,3.3,ddr,27,0,yes
28,7,7,0,34,31~35,0,7,1,3,1,4,5,1,0,4,1,1,0,2,0,4,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2225,3.5,rrp,27,0,yes
31,8,8,1,22,21~25,0,2,1,3,1,4,6,1,0,2,0,0,1,0,1,3,1,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,47,4.1,d,120,1,yes
30,8,8,1,22,21~25,0,2,1,3,1,4,6,1,0,2,1,1,1,1,1,2,2,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,3302,4.1,drp,120,1,yes
29,8,8,1,22,21~25,0,2,1,3,1,4,6,1,0,2,0,0,0,0,0,1,3,LowU,3,0,0,0,1,1,0,0,0,0,1,0,36,3.3,,120,1,yes
32,8,8,1,22,21~25,0,2,1,3,1,4,6,1,0,2,0,1,1,1,1,4,4,HighU,4,0,1,0,0,1,0,0,0,0,1,1,2409,3.3,dr,120,1,yes
35,9,9,0,25,21~25,0,4,1,3,1,3,4,1,0,2,0,0,0,0,0,3,1,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,42,4.2,,119,0,yes
